objid,ra,dec,hubble,group
J08364096+52264661,129.17067,52.446281000000006,E6,train
J08394406+52571588,129.93358,52.954411,E6,train
J14055334+65422802,211.47225,65.70778299999999,E6,test_expert
J17242113+58334157,261.08804,58.561547,E6,train
J15264891+59154812,231.70379,59.263367,E6,train
J09374502+02445057,144.43758,2.7473810000000003,E6,train
J08565925+51195531,134.24687,51.332031,E6,train
J22323135+00411535,338.13062,0.687597,E6,train
J10325320+53064793,158.22167,53.113314,E6,valid
J08211195+39153370,125.29979,39.259361,E6,train
J15270157+48364788,231.75654,48.6133,E6,valid
J01231237-00382815,20.80154,-0.641153,E6,train
J12224517+12173762,185.68821,12.293783,E6,test_expert
J13292065+11442417,202.33604,11.740047,E6,train
