objid,ra,dec,hubble,petroR90_g,group
J15514683-00061862,237.94512000000003,-0.105172,E0,13.93,test_expert
J11232698-00424885,170.86242,-0.713569,E0,5.39,train
J12434507-00212646,190.93779,-0.35735,E0,10.52,valid
J14533692+00002055,223.40383,0.005708,E0,9.22,test_expert
J15331042+00292672,233.29342000000003,0.490756,E0,11.15,train
J11064746-00552694,166.69775,-0.92415,E0,7.83,train
J12390113+00215599,189.75471,0.365553,E0,19.62,train
J13295992+00181835,202.49967,0.305097,E0,21.87,train
J14294063+00215903,217.41929,0.366397,E0,11.22,train
J01151258+13275139,18.80242,13.464275,E0,14.98,train
J00480310+16005798,12.01292,16.016106,E0,4.24,valid
J03393718-05375854,54.90492,-5.632928,E0,11.12,test_expert
J13171154-02120382,199.29808,-2.201061,E0,8.1,train
J12022307-03182277,180.59612,-3.306325,E0,11.3,test_expert
J12423939-02524191,190.66412,-2.878308,E0,9.29,train
J08165362+45133745,124.22342,45.227069,E0,9.07,valid
J08314235+48590084,127.92646,48.983567,E0,9.18,train
J10340988+61362807,158.54117,61.607797,E0,10.7,train
J17205694+55122832,260.23725,55.20786700000001,E0,12.06,train
J14095596+61412053,212.48317000000003,61.689036,E0,14.1,test_expert
J10090842+62233506,152.28508,62.393072,E0,14.93,test_expert
J11551575+66160266,178.81562,66.26740600000001,E0,9.18,train
J14172935+63171018,214.37229,63.286161,E0,3.77,valid
J08385841+52480000,129.74337,52.8,E0,5.57,test_expert
J07543575+44090654,118.64896,44.151817,E0,15.53,valid
J11242719+66585080,171.11328999999995,66.980778,E0,8.8,test_expert
J08331602+53512368,128.31675,53.856578000000006,E0,14.37,train
J17150906+64025380,258.78775,64.048278,E0,16.05,train
J07470782+43185057,116.78258,43.314047,E0,14.52,valid
J07545152+45421830,118.71467,45.705083,E0,10.61,train
J14102055+64220461,212.58562,64.367947,E0,10.6,test_expert
J11340101+01205957,173.50421,1.349881,E0,14.96,train
J13371974+01405422,204.33225,1.681728,E0,13.07,test_expert
J11173961+03185128,169.41504,3.3142440000000004,E0,10.64,train
J23541368-10250849,358.557,-10.419025,E0,26.37,test_expert
J10342395+59231535,158.59978999999996,59.387597,E0,15.33,train
J08595148+51444812,134.9645,51.7467,E0,9.42,train
J11183102+63050576,169.62925,63.08493299999999,E0,11.67,train
J12315377+64390971,187.97404,64.652697,E0,14.43,train
J08403441+02364077,130.14337,2.611325,E0,22.45,test_expert
J11561510+04580438,179.06292,4.9678830000000005,E0,34.33,train
J10481191+04595488,162.04962,4.998578,E0,22.07,train
J08362303+43282463,129.09596000000002,43.473508,E0,18.15,train
J09164779+49464961,139.19912,49.780447,E0,13.99,train
J15111470+03295556,227.81125,3.498767,E0,14.71,valid
J14195140+05033993,214.96417,5.061092,E0,19.25,train
J15320966+58541854,233.04025,58.90515,E0,17.86,train
J12161644+60285392,184.0685,60.481644,E0,9.68,train
J11132997+59542305,168.37487,59.90640300000001,E0,12.98,train
J13490721+05041207,207.28004,5.070019,E0,7.04,train
J16485589+39543724,252.23287,39.910344,E0,24.43,test_expert
J16150465+43354388,243.76937,43.595522,E0,15.92,valid
J15572019+48122613,239.33412,48.207258,E0,5.59,valid
J14363973+57491261,219.16554,57.82016899999999,E0,11.94,test_expert
J12531388+62381971,193.30783,62.638808,E0,5.79,train
J13255060-03301241,201.46083,-3.503447,E0,12.12,train
J15434579-01451198,235.94079,-1.7533279999999998,E0,10.62,train
J15422360-01162989,235.59833,-1.274969,E0,9.09,train
J13325310-01153119,203.22125,-1.258664,E0,12.26,valid
J15062227-01450659,226.59279,-1.751831,E0,15.5,valid
J14171629-01352126,214.31787000000003,-1.5892389999999998,E0,11.78,train
J21394342+10201497,324.93092,10.337492,E0,23.65,train
J22593626+13221143,344.90108,13.369842000000002,E0,10.87,train
J23225762+15055082,350.74008,15.09745,E0,8.36,train
J22081682-07291900,332.07008,-7.488611,E0,9.99,valid
J21073962-01134150,316.91508,-1.228194,E0,10.83,train
